symbol,day,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,shares,stop_price,target_price,risk_per_share,holding_minutes,gross_pnl,commission,reg_fees,net_pnl,r_multiple,relative_volume,or_width,equity_before,equity_after
SPY,2022-08-01 00:00:00-04:00,long,2022-08-01 09:53:00-04:00,389.73583199999996,2022-08-01 10:52:00-04:00,391.50333600000005,time,64,388.155,392.89749599999993,1.5808319999999867,60,113.12025600000561,0.64,0.20044970803200002,112.27980629197361,1.1097776191980568,,2.089999999999975,100000.0,100112.27980629198
QQQ,2022-08-01 00:00:00-04:00,long,2022-08-01 09:53:00-04:00,307.843088,2022-08-01 10:52:00-04:00,310.04593200000005,time,81,305.78999999999996,311.94926400000014,2.0530880000000593,60,178.4303640000022,0.81,0.20090976393600002,177.4194542360662,1.0668630046758658,,2.680000000000007,100112.27980629198,100289.69926052804
NVDA,2022-08-01 00:00:00-04:00,long,2022-08-01 09:53:00-04:00,18.397356,2022-08-01 10:52:00-04:00,18.762492,time,1362,18.115000000000002,18.96206799999999,0.2823559999999965,60,497.3152320000044,13.620000000000001,0.204436112832,483.4907958871724,1.2572281094221749,,0.34999999999999787,100289.69926052804,100773.19005641522
AMZN,2022-08-01 00:00:00-04:00,long,2022-08-01 09:54:00-04:00,136.50457999999998,2022-08-01 10:53:00-04:00,138.61433208000003,time,184,134.945,139.62373999999994,1.5595799999999826,60,388.1943827200091,1.84,0.20404029682176003,386.1503424231874,1.3456463697555965,,2.8700000000000045,100773.19005641522,101159.34039883841
META,2022-08-01 00:00:00-04:00,long,2022-08-01 10:01:00-04:00,157.292892,2022-08-01 11:00:00-04:00,161.165508,time,160,155.1,161.678676,2.1928920000000005,60,619.618559999999,1.6,0.20629185024,617.812268149759,1.7608375952559419,,2.4399999999999977,101159.34039883841,101777.15266698817
QQQ,2022-08-02 00:00:00-04:00,long,2022-08-02 09:46:00-04:00,306.782664,2022-08-02 09:53:00-04:00,305.457768,stop,82,305.58,309.18799200000007,1.202664000000027,8,-108.64147200000195,0.8200000000000001,0.200380295808,-109.66185229580995,-1.1119811203661154,,2.1200000000000045,101777.15266698817,101667.49081469236
NVDA,2022-08-02 00:00:00-04:00,long,2022-08-02 09:46:00-04:00,18.407359999999997,2022-08-02 09:56:00-04:00,18.207714,stop,1380,18.215,18.79207999999999,0.1923599999999972,11,-275.51147999999694,13.8,0.20101316255999999,-289.51249316255695,-1.0906199922645086,,0.3500000000000014,101667.49081469236,101377.9783215298
AMZN,2022-08-02 00:00:00-04:00,long,2022-08-02 09:46:00-04:00,136.36222308,2022-08-02 10:08:00-04:00,135.27591798,stop,185,135.33005,138.42656924000002,1.0321730800000068,23,-200.96644350000076,1.85,0.20020835861039998,-203.01665185861117,-1.0631814843919751,,1.8399,101377.9783215298,101174.96166967119
SPY,2022-08-02 00:00:00-04:00,short,2022-08-02 09:54:00-04:00,386.605296,2022-08-02 09:58:00-04:00,387.83507199999997,stop,65,387.68,384.455888,1.074703999999997,5,-79.9354399999973,0.65,0.20103475392,-80.7864747539173,-1.1564754968511906,,1.4600000000000364,101174.96166967119,101094.17519491728
META,2022-08-02 00:00:00-04:00,long,2022-08-02 10:54:00-04:00,159.543792,2022-08-02 11:53:00-04:00,159.4362,time,158,158.07,162.491376,1.473792000000003,60,-16.99953599999725,1.58,0.2015273568,-18.781063356797247,-0.08065418295117786,,2.680000000000007,101094.17519491728,101075.39413156048
